#Союзы
#separator:Semicolon
#html:true
#tags:conjunction союз
#notetype:German
#columns:Front;Back;Example;ExampleTranslation;Notes;Synonym;Context;ContextTranslation
und;и, а;Peter liest ein Buch <b>und</b> Anna hört Musik.;Петер читает книгу <b>и</b> Анна слушает музыку.;сочинительный<br />не влияет на порядок слов;;
bevor;прежде чем;<b>Bevor</b> ich meine Hausaufgaben mache, esse ich zu Abend.<br />Ich esse zu Abend, <b>bevor</b> ich meine Hausaufgaben mache.;<b>Прежде чем</b> я сделаю мою домашнюю работу, я поужинаю.<br />Я ужинаю, <b>прежде чем</b> я сделаю мою домашнюю работу.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
bis;пока, до тех пор пока;<b>Bis</b> der Bus kommt, warten wir an der Haltestelle.<br />Wir warten an der Haltestelle, <b>bis</b> der Bus kommt.;<b>Пока</b> не приедет автобус, мы ждем на остановке.<br />Мы ждем на остановке, <b>пока</b> не приедет автобус.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
da;так как, поскольку;<b>Da</b> es regnet, bleiben wir heute zu Hause.<br />Wir bleiben heute zu Hause, <b>da</b> es regnet.;<b>Поскольку</b> идет дождь, мы останемся сегодня дома.<br />Мы останемся сегодня дома, <b>потому что</b> идет дождь.;Часто используется в начале предложения, когда причина очевидна.<br/>подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;weil;;обозначение причины
dass;что;<b>Dass</b> er die Prüfung bestanden hat, freut mich sehr.<br />Ich glaube, <b>dass</b> das eine gute Idee ist.;<b>То, что</b> он сдал экзамен, меня очень радует.<br />Я считаю, <b>что</b> это хорошая идея.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
indem;тем что;<b>Indem</b> du fleißig lernst, erreichst du deine Ziele.<br />Man lernt eine Sprache gut, <b>indem</b> man viel spricht.;<b>Тем, что</b> ты усердно учишься, ты достигаешь своих целей.<br />Язык хорошо учат, <b>тем что</b> много говорят.;родственные: dadurch dass, sodass<br />заменяет деепричастный оборот<br />подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
dadurch dass;вследствие того что, засчет того что, посредством;<b>Dadurch dass</b> er früh aufgestanden ist, hat er den Zug erwischt.;<b>Вследствие того что</b> он встал рано, он успел на поезд.;родственные: indem, sodass<br />подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;;;
sodass;следовательно;Er ist früh aufgestanden, <b>sodass</b> er den Zug erwischt hat.;Он встал рано, <b>так что</b> (в результате чего) успел на поезд.;родственные: indem, dadurch dass<br />не может стоять на первом месте<br />подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
insoweit;поскольку, настолько;<b>Insoweit</b> er die Regeln kennt, kann er mitspielen.<br />Das Ergebnis ist gut, <b>insoweit</b> alle Erwartungen erfüllt wurden.;<b>Поскольку</b> он знает правила, он может играть.<br />Результат хороший, <b>поскольку</b> все ожидания были выполнены.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;~während;Prozess / andauernde Handlung;Указание на процесс / продолжительное действие
insofern;поскольку, насколько;<b>Insofern</b> das Auto kaputt ist, kann ich nicht ankommen.<br />Das Reparaturbüro ist heute geschlossen, <b>insofern</b> heute zu tolles Wetter ist, darum bleibe ich ohne Auto.;<b>Поскольку</b> машина сломана, я сегодня не смогу прийти.<br />Ремонтное бюро сегодня закрыто, <b>поскольку</b> сегодня слишком классная погода, поэтому я остаюсь без машины.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;~wegen;der Grund;Указание на причину
nachdem;после того как, после;<b>Nachdem</b> er gegessen hatte, ging er spazieren.<br />Wir sind ins Kino gegangen, <b>nachdem</b> wir unsere Arbeit beendet hatten.;<b>После того как</b> он поел, он пошел гулять.<br />Мы пошли в кино <b>после того как</b> мы закончили нашу работу.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
ob;ли, ль, хоть;<b>Ob</b> er kommt, ist noch nicht klar.<br />Sie fragt, <b>ob</b> wir heute Abend Zeit haben.;Не ясно, придет <b>ли</b> он.<br />Она спрашивает, есть <b>ли</b> у нас сегодня вечером время.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
obwohl;хотя, несмотря на то что;<b>Obwohl</b> es regnete, sind wir spazieren gegangen.<br />Sie hat die Prüfung bestanden, <b>obwohl</b> sie nicht viel gelernt hatte.;<b>Несмотря на то что</b> шел дождь, мы пошли гулять.<br />Она сдала экзамен, <b>хотя</b> она не очень много училась.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
sobald;как только;<b>Sobald</b> er ankommt, rufen wir dich an.<br />Wir gehen spazieren, <b>sobald</b> der Regen aufhört.;<b>Как только</b> он приедет, мы позвоним тебе.<br />Мы пойдем гулять, <b>как только</b> закончится дождь.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
solange;тем временем, пока;<b>Solange</b> die Sonne scheint, bleiben wir im Garten.<br />Du kannst fernsehen, <b>solange</b> du deine Hausaufgaben machst.;<b>Пока</b> светит солнце, мы останемся в саду.<br />Ты можешь смотреть телевизор, <b>пока</b> ты делаешь свою домашнюю работу.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
wann;когда;<b>Wann</b> der Zug ankommt, ist noch nicht bekannt.<br />Er fragt immer, <b>wann</b> wir nach Hause gehen.;<b>Когда</b> прибудет поезд, еще не известно.<br />Он всегда спрашивает, <b>когда</b> мы идем домой.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;;
weil;потому что;<b>Weil</b> ich Durst habe, trinke ich Wasser.<br />Ich bleibe heute zu Hause, <b>weil</b> ich krank bin.;<b>Потому что</b> я хочу пить, я пью воду.<br />Я остаюсь сегодня дома, <b>потому что</b> я болен.;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;da;;обозначение причины
wenn;когда, если;<b>Wenn</b> ich Zeit habe, lese ich ein Buch.<br /><b>Wenn</b> es morgen regnet, bleiben wir zu Hause.;<b>Когда</b> у меня есть время, я читаю книгу.<br /><b>Если</b> завтра будет дождь, мы останемся дома.;Хуже falls (в контексте "если"), как листочки из ромашки.<br />подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;falls;
falls;в случае, если;<b>Falls</b> du Fragen hast, ruf mich an.;<<b>В случае если</b> у тебя будут вопросы, позвони мне.;Лучше, чем wenn, ставит условие выполнения.<br/>подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место;wenn;;;
damit;чтобы, с этим/тем;союз: Ich erkläre es dir noch einmal, <b>damit</b> du alles verstehst.<br />наречие: Was machst du <b>damit</b>?;Я объясню тебе это еще раз, <b>чтобы</b> ты все понял.<br />Что ты <b>с этим</b> делаешь?;подчинительный<br />в части с союзом перенос спрягаемого глагола на последнее место<br />местоименное наречие: не союз, а комбинация предлога mit и указателя da;;
