#Слова из книжки по подготовке к TELC B1
#separator:Semicolon
#html:true
#tags:telc
#notetype:German
#columns:Front;Back;Example;ExampleTranslation;Notes;Synonym;Context;ContextTranslation
unterstützen;поддерживать;Ich werde dich bei deinem Plan <b>unterstützen</b>.;Я <b>поддержу</b> тебя в твоем плане.;;;;
nötig;необходимый;Das ist eine <b>nötige</b> Investition in die Zukunft.;Это <b>необходимая</b> инвестиция в будущее.;;;;
der Rentner;пенсионер;Mein Opa ist seit drei Jahren <b>Rentner</b>.;Мой дедушка уже три года как <b>пенсионер</b>.;;;;
die Veranstaltung;мероприятие;In unserer Stadt gibt es viele interessante <b>Veranstaltungen</b>.;В нашем городе проходит много интересных <b>мероприятий</b>.;;;;
die Unterhaltung;развлечение;Das Konzert war eine gute <b>Unterhaltung</b>.;Концерт был хорошим <b>развлечением</b>.;;;;
runter;вниз;Komm mal schnell <b>runter</b>!;Иди-ка быстро <b>вниз</b>!;;;;
das Rad (die Räder);колесо;Das Auto hat ein kaputtes <b>Rad</b>.;У машины сломано одно <b>колесо</b>.;;;;
die Tätigkeit;деятельность;Meine berufliche <b>Tätigkeit</b> ist sehr interessant.;Моя профессиональная <b>деятельность</b> очень интересна.;;;;
einstündig;часовой (время);Wir hatten eine <b>einstündige</b> Besprechung.;У нас было <b>часовое</b> совещание.;;;;
erst;только, не раньше чем;Ich komme <b>erst</b> um 9 Uhr nach Hause.;Я приду домой <b>только</b> в 9 часов.;;;;
