#То что подпадалось в подготовке к Einbürgerungstest 
#separator:Semicolon
#html:true
#tags:flashcardbot
#notetype:German:Bot
#columns:Front;Back;Example;ExampleTranslation;FrontNoSeparator;Notes;Synonym;Context;ContextTranslation;
betreten;входить;Bitte <b>betreten</b> Sie den Raum.<br />Er hat das Geschäft ohne zu <b>betreten</b> verlassen.;Пожалуйста, <b>войдите</b> в комнату.<br />Он вышел из магазина, не <b>войдя</b> в него.;;;;;
vereinbar;совместимый;Die beiden Systeme sind <b>vereinbar</b>.<br />Unsere Pläne sind <b>vereinbar</b> mit deinen.;Оба эти системы <b>совместимы</b>.<br />Наши планы <b>совместимы</b> с твоими.;;;;;
die Prügelstrafe;телесное наказание;Die <b>Prügelstrafe</b> war in vielen Ländern lange Zeit erlaubt.<br />Er glaubt, dass die <b>Prügelstrafe</b> nicht der richtige Weg ist.;Телесное <b>наказание</b> долгое время было разрешено во многих странах.<br />Он считает, что <b>телесное</b> <b>наказание</b> - не лучший путь.;;;;;
die Folter;пытка;Die <b>Folter</b> ist eine brutale Methode zur Bestrafung.<br />Manche Menschen haben unter <b>Folter</b> gelitten.;Пытка — это жестокий метод наказания.<br />Некоторые люди страдали под <b>пыткой</b>.;;;;;
das Recht;право;Jeder hat das <b>Recht</b>, seine Meinung zu äußern.<br />Es ist wichtig, das <b>Recht</b> zu respektieren.;Каждый имеет право высказывать свое мнение.<br />Важно уважать <b>право</b>.;;;;;
das Merkmal;особенность;Jedes <b>Merkmal</b> ist wichtig für diese Prüfung.<br />Er hat ein einzigartiges <b>Merkmal</b>, das ihn von anderen unterscheidet.;Каждое <b>особенность</b> важно для этого экзамена.<br />У него есть уникальная <b>особенность</b>, которая отличает его от других.;;;;;
gelten;иметь силу;Das Gesetz <b>gilt</b> ab heute.<br />Die Regeln <b>gelten</b> für alle.<br />Er gilt als der Beste in seinem Fach.;Закон <b>имеет силу</b> с сегодняшнего дня.<br />Правила <b>распространяются</b> на всех.<br />Он <b>считается</b> лучшим в своей области.;;;;;
das Asyl;убежище;In Deutschland gibt es viele Menschen, die <b>Asyl</b> suchen.<br />Die Politik unterstützt die Rechte von <b>Asyl</b>-bewerbern.;В Германии много людей, которые ищут <b>убежище</b>.<br />Политика поддерживает права <b>соискателей убежища</b>.;;;;;
der Militärdienst;военная служба;Der <b>Militärdienst</b> ist für viele junge Männer Pflicht.<br />Nach dem <b>Militärdienst</b> haben viele eine andere Sicht auf das Leben.;Военная <b>служба</b> является обязательной для многих молодых людей.<br />После <b>военной службы</b> у многих изменяется восприятие жизни.;;;;;
die Zwangsarbeit;принудительный труд;Während des Krieges mussten viele Menschen in <b>Zwangsarbeit</b> arbeiten.<br />Die <b>Zwangsarbeit</b> war ein schweres Verbrechen gegen die Menschlichkeit.;Во время войны многие люди были вынуждены работать на <b>принудительных работах</b>.<br /> <b>Принудительный труд</b> был тяжким преступлением против человечности.;;;;;
erwerbstätig;работающий;Mein Vater ist seit vielen Jahren <b>erwerbstätig</b>.<br />Es ist wichtig, <b>erwerbstätig</b> zu sein, um den Lebensunterhalt zu sichern.;Мой отец много лет <b>работающий</b>.<br />Важно быть <b>работающим</b>, чтобы обеспечить себя.;;;;;
entwerfen;разрабатывать;Ich werde ein neues Design <b>entwerfen</b>.<br />Sie muss einen Plan <b>entwerfen</b> für das Projekt.;Я разрабатываю новый дизайн.<br />Ей нужно разработать план для проекта.;;;;;
der Genuss;удовольствие;Das Essen war ein wahres <b>Genuss</b>!<br />Ein <b>Genuss</b> für die Sinne.;Еда была настоящим <b>удовольствием</b>!<br />Это <b>удовольствие</b> для чувств.;;;;;
die Währung;валюта;Die <b>Währung</b> in Deutschland ist der Euro.<br />In vielen Ländern gibt es verschiedene <b>Währungen</b>.;В <b>Германии</b> <b>валюта</b> — евро.<br />Во многих странах есть разные <b>валюты</b>.;;;;;
ernennen;называть;Wir müssen die Sache <b>ernennen</b>. <br />Sie wurde <b>ernannt</b> zur neuen Chefin.;Мы должны эту вещь <b>назвать</b>. <br />Её <b>назвали</b> новым начальником.;;;;;
beschließen;решать;Wir müssen <b>beschließen</b>, wo wir essen gehen.<br />Ich habe beschlossen, mehr Sport zu machen.;Мы должны <b>решить</b>, где мы будем ужинать.<br />Я <b>решил</b>, заниматься спортом больше.;;;;;
gliedern;структурировать;Wir müssen die Informationen klar <b>gliedern</b>, damit jeder sie versteht.<br />Die Präsentation soll in verschiedene Abschnitte <b>gliedert</b> werden.;Мы должны четко <b>структурировать</b> информацию, чтобы каждый мог её понять.<br />Презентация должна быть <b>структурирована</b> на различные разделы.;;;;;
die Auswirkung;влияние;Die <b>Auswirkung</b> des Klimawandels ist spürbar.<br />Die <b>Auswirkung</b> dieser Entscheidung wird lange zu spüren sein.;Влияние <b>изменения климата</b> ощущается.<br />Влияние <b>это решение</b> будет ощущаться долго.;;;;;
schwierig;сложный;Die Aufgabe war wirklich <b>schwierig</b>.<br />Es ist <b>schwierig</b>, die richtige Entscheidung zu treffen.;Задание было действительно <b>сложным</b>.<br />Это <b>сложное</b> принять правильное решение.;;;;;
dadurch;тем самым;Ich kann das Problem <b>dadruch</b> lösen.<br />Er hat die Nachricht <b>dadruch</b> erhalten, dass ich ihn angerufen habe.;Я могу решить проблему <b>тем самым</b>.<br />Он получил сообщение <b>тем самым</b>, что я ему позвонил.;;;;;
die Aufgabe;задача;Ich habe eine interessante <b>Aufgabe</b> für dich.<br />Diese <b>Aufgabe</b> ist nicht einfach.;У меня есть для тебя интересная <b>задача</b>.<br />Эта <b>задача</b> не простая.;;;;;
die Ernennungsurkunde;служебное удостоверение;Die <b>Ernennungsurkunde</b> wurde ihm bei der Zeremonie überreicht.<br />Die <b>Ernennungsurkunde</b> bestätigt seinen neuen Status.;Ему вручили <b>служебное удостоверение</b> на церемонии.<br />Это <b>служебное удостоверение</b> подтверждает его новый статус.;;;;;
wirken;влиять;Die Worte können tief <b>wirken</b>.<br />Sein Verhalten <b>wirkt</b> auf andere Menschen.;Эти слова могут сильно <b>влиять</b>.<br />Его поведение <b>влияет</b> на других людей.;;;;;
regieren;управлять;Die Regierung <b>regiert</b> das Land mit einer Mehrheit im Parlament.<br />Die Stadt wird von einem neuen Bürgermeister <b>regiert</b>.;Правительство <b>управляет</b> страной с большинством в парламенте.<br />Город <b>управляется</b> новым мэром.;;;;;
die Vereinigung;объединение;Die <b>Vereinigung</b> der Länder hat viele Vorteile.<br />Die <b>Vereinigung</b> fand später statt.;Объединение стран имеет много преимуществ.<br />Объединение произошло позже.;;;;;
heutig;сегодняшний;Das ist die <b>heutige</b> Nachricht.<br />Wir haben die <b>heutige</b> Besprechung verschoben.;Это сегодняшнее <b>сообщение</b>.<br />Мы перенесли <b>сегодняшнюю</b> встречу.;;;;;
verlieren;терять;Ich habe meine Schlüssel <b>verloren</b>.<br />Er kann nicht akzeptieren, dass er das Spiel <b>verloren</b> hat.;Я потерял свои ключи.<br />Он не может принять, что он проиграл игру.;;;;;
ehrenamtlich;добровольный;Ich arbeite <b>ehrenamtlich</b> in einem Tierheim.<br />Viele Menschen leisten <b>ehrenamtlich</b> wichtige Beiträge in der Gesellschaft.;Я работаю <b>добровольно</b> в приюте для животных.<br />Многие люди вносят <b>добровольный</b> вклад в общество.;;;;;
die Entlassung;увольнение;Die <b>Entlassung</b> war für alle überraschend.<br />Nach der <b>Entlassung</b> fühle ich mich erleichtert.;Увольнение стало неожиданностью для всех.<br />После <b>увольнения</b> я чувствую себя облегчённым.;;;;;
unterliegen;передаваться;Die Ergebnisse <b>unterliegen</b> den Bedingungen des Vertrags.<br />Die Pläne <b>unterliegen</b> bestimmten Vorschriften.;Результаты <b>передаются</b> условиям контракта.<br />Планы <b>подлежат</b> определенным предписаниям.;;;;;
geheim;секретный;Es ist ein <b>geheim</b>es Treffen.<br />Die Polizei hat einen <b>geheim</b>en Bericht veröffentlicht.;Это <b>секретная</b> встреча.<br />Полиция опубликовала <b>секретный</b> отчет.;;;;;
wahlberechtigt;имеющий право голоса;Jeder Bürger ist <b>wahlberechtigt</b>, wenn er mindestens 18 Jahre alt ist.<br />In Deutschland sind alle Erwachsenen <b>wahlberechtigt</b>.;Каждый гражданин имеет <b>право голоса</b>, если он достиг 18 лет.<br />В Германии все взрослые имеют <b>право голоса</b>.;;;;;
die Gemeinde;община;Die <b>Gemeinde</b> hat beschlossen, ein neues Gemeindehaus zu bauen.<br />Die <b>Gemeinde</b> organisiert regelmäßig Veranstaltungen.;Община решила построить новый дом общины.<br />Община регулярно организует мероприятия.;;;;;
der Zwang;принуждение;Der <b>Zwang</b> zur Arbeit kann sehr belastend sein.<br />Manchmal erleben Menschen <b>Zwang</b> in verschiedenen Lebensbereichen.;Принуждение к работе может быть очень утомительным.<br />Иногда люди испытывают <b>принуждение</b> в различных сферах жизни.;;;;;
die Gewerkschaft;профсоюз;Die <b>Gewerkschaft</b> setzt sich für die Rechte der Arbeiter ein.<br />In vielen Ländern gibt es eine starke <b>Gewerkschaft</b>.;Профсоюз <b>борется</b> за права работников.<br />Во многих странах есть сильный <b>профсоюз</b>.;;;;;
ab·schaffen;отменять;Wir sollten die Gesetze <b>abschaffen</b>, die nicht mehr zeitgemäß sind.<br />Die Regierung hat beschlossen, die alte Regelung <b>abzuschaffen</b>.;Мы должны <b>отменить</b> законы, которые больше не соответствуют времени.<br />Правительство решило <b>отменить</b> старое правило.;abschaffen;;;;
erhalten;получать;Ich habe das Paket <b>erhalten</b>.<br />Du musst die Bestätigung bis morgen <b>erhalten</b>.;Я <b>получил</b> пакет.<br />Ты должен <b>получить</b> подтверждение до завтра.;;;;;
gewählt;выбранный;Das neue Mitglied wurde <b>gewählt</b>.<br />Er wurde letzten Monat <b>gewählt</b>.;Новое членство было <b>выбрано</b>.<br />Он был <b>выбран</b> в прошлом месяце.;;;;;
der Schöffe;судья присяжный;Der <b>Schöffe</b> hat die Verantwortung, die Urteile zu fällen.<br />Ein <b>Schöffe</b> muss unparteilich sein.;Присяжный <b>судья</b> несет ответственность за вынесение приговоров.<br />Присяжный <b>судья</b> должен быть беспристрастным.;;;;;
verteidigen;защищать;Wir müssen unsere Rechte <b>verteidigen</b>.<br />Er kann sich selbst <b>verteidigen</b>.;Мы должны <b>защищать</b> наши права.<br />Он может <b>защитить</b> себя.;;;;;
das Verfahren;процедура;Das <b>Verfahren</b> ist kompliziert.<br />Wir müssen das <b>Verfahren</b> genau befolgen.;Процедура <b>сложная</b>.<br />Мы должны точно следовать <b>процедуре</b>.;;;;;
beraten;консультировать;Ich kann dich gerne <b>beraten</b>.<br />Die Experten werden uns <b>beraten</b>.;Я могу тебя охотно <b>консультировать</b>.<br />Эксперты нас <b>консультируют</b>.;;;;;
vertreten;представлять;Er wird die Firma bei der Konferenz <b>vertreten</b>.<br />Wir müssen jemanden <b>vertreten</b>, der krank ist.;Он будет <b>представлять</b> компанию на конференции.<br />Нам нужно кого-то <b>представить</b>, кто болен.;;;;;
kennzeichnen;обозначать;Man kann die verschiedenen Stücke <b>kennzeichnen</b>, um sie leichter zu finden.<br />Das Label <b>kennzeichnet</b> die Eigenschaften des Produkts.;Можно <b>обозначать</b> различные части, чтобы их легче найти.<br />Этикетка <b>обозначает</b> характеристики продукта.;;;;;
der Richter;судья;Der <b>Richter</b> spricht das Urteil.<br />Der <b>Richter</b> ist neutral.;Судья выносит приговор.<br />Судья является нейтральным.;;;;;
das Urteil;приговор;Das <b>Urteil</b> wurde gestern verkündet.<br />Die <b>Urteile</b> der Richter sind immer spannend.;Приговор был объявлен вчера.<br />Приговоры судей всегда интересны.;;;;;
erlauben;разрешать;Kann ich das <b>erlauben</b>?<br />Es ist nicht <b>erlauben</b>, hier zu rauchen.;Могу я это <b>разрешить</b>?<br />Это не <b>разрешено</b> курить здесь.;;;;;
die Straftat;преступление;Er war in eine <b>Straftat</b> verwickelt.<br />Die <b>Straftat</b> wurde aufgeklärt.;Он был вовлечён в <b>преступление</b>.<br />Это <b>преступление</b> было раскрыто.;;;;;
an·klagen;обвинять;Die Staatsanwaltschaft wird ihn <b>anklagen</b>.<br />Sie <b>klagt</b> ihn <b>anklagen</b> wegen Betrugs an.;Государственное обвинение будет <b>обвинять</b> его.<br />Она <b>обвиняет</b> его в мошенничестве.;anklagen;;;;
die Wende;поворот;Die <b>Wende</b> war ein entscheidendes Ereignis in der Geschichte.<br />Nach der <b>Wende</b> kam es zu vielen Veränderungen in der Gesellschaft.;<b>Поворот</b> стал решающим событием в истории.<br />После <b>поворота</b> произошло много изменений в обществе.;;;;;
das Wirtschaftswunder;экономическое чудо;Das <b>Wirtschaftswunder</b> in Deutschland nach dem Zweiten Weltkrieg war beeindruckend.<br />Viele Menschen profitierten von dem <b>Wirtschaftswunder</b>.;Экономическое <b>чудо</b> в Германии после Второй мировой войны было впечатляющим.<br />Многие люди воспользовались этим <b>экономическим чудом</b>.;;;;;
eisern;железный;Er hat einen <b>eisernen</b> Willen.<br />Die <b>eiserne</b> Lady war bekannt für ihre Stärke.;У него <b>железная</b> воля.<br />«<b>Железная</b> леди» была известна своей силой.;;;;;
der Vorhang;занавес;Der <b>Vorhang</b> ist blau.<br />Ich ziehe den <b>Vorhang</b> zu.;Занавес имеет синий цвет.<br />Я закрываю <b>занавес</b>.;;;;;
der Beitritt;вступление;Der <b>Beitritt</b> zum Verein ist einfach.<br />Die meisten Menschen unterstützen den <b>Beitritt</b> zur Europäischen Union.;Вступление в ассоциацию просто.<br />Большинство людей поддерживают <b>вступление</b> в Европейский Союз.;;;;;
der Vertrag;договор;Ich habe den <b>Vertrag</b> unterschrieben.<br />Der <b>Vertrag</b> ist sehr wichtig für beide Parteien.;Я подписал <b>договор</b>.<br />Этот <b>договор</b> очень важен для обеих сторон.;;;;;
die Erziehung;воспитание;Die <b>Erziehung</b> spielt eine wichtige Rolle in der Entwicklung der Kinder.<br />Die <b>Erziehung</b> zu Hause ist ebenso wichtig wie die in der Schule.;<b>Воспитание</b> играет важную роль в развитии детей.<br /><b>Воспитание</b> в семье так же важно, как и в школе.;;;;;
unbegrenzt;неограниченный;Die Möglichkeiten sind <b>unbegrenzt</b>.<br />Du hast <b>unbegrenzt</b> Zugang zu diesem Material.;Возможности <b>неограниченные</b>.<br />У тебя <b>неограниченный</b> доступ к этому материалу.;;;;;
der Anspruch;требование;Der <b>Anspruch</b> wird in der nächsten Sitzung besprochen.<br />Jeder hat das Recht auf eine faire <b>Anspruch</b>.;Требование будет обсуждено на следующем заседании.<br />Каждый имеет право на справедливое <b>требование</b>.;;;;;
das Ziel;цель;Ich habe ein <b>Ziel</b>, das ich erreichen möchte.<br />Es ist wichtig, ein klares <b>Ziel</b> zu haben.;У меня есть <b>цель</b>, которую я хочу достичь.<br />Важно иметь четкую <b>цель</b>.;;;;;
bewerben;подать заявление;Ich möchte mich um die Stelle <b>bewerben</b>.<br />Er hat sich erfolgreich um ein Stipendium <b>beworben</b>.;Я хочу <b>подать заявление</b> на эту должность.<br />Он успешно <b>подал заявление</b> на стипендию.;;;;;
drohen;угрожать;Er <b>droht</b> mir immer mit Konsequenzen.<br />Wenn du nicht aufpasst, könnte jemand <b>drohen</b>.;Он всегда <b>угрожает</b> мне последствиями.<br />Если ты не будешь осторожен, кто-то может <b>угрожать</b>.;;;;;
die Behörde;орган;Die <b>Behörde</b> hat die Anfrage bearbeitet.<br />Ich muss zur <b>Behörde</b> gehen, um meinen Ausweis abzuholen.;В <b>органе</b> рассмотрели запрос.<br />Мне нужно пойти в <b>орган</b>, чтобы забрать мой удостоверение.;;;;;
prägen; формировать;Die Erfahrungen <b>prägen</b> unser Leben.<br />Diese Münze <b>prägt</b> die Geschichte eines Landes.;Опыт <b>формирует</b> нашу жизнь.<br />Эта монета <b>формирует</b> историю страны.;;;;;
absichtlich;намеренно;Er hat das <b>absichtlich</b> gemacht, um Ärger zu vermeiden.<br />Ich glaube nicht, dass das <b>absichtlich</b> war.;Он сделал это <b>намеренно</b>, чтобы избежать неприятностей.<br />Я не думаю, что это было <b>намеренно</b>.;;;;;
beachten;обращать внимание;Du musst die Regeln <b>beachten</b>.<br />Kannst du bitte <b>beachten</b>, was ich sage?;Ты должен <b>обращать внимание</b> на правила.<br />Можешь, пожалуйста, <b>обращать внимание</b> на то, что я говорю?;;;;;
auf·fordern;приглашать;Ich möchte dich <b>auffordern</b>, aktiv an der Diskussion teilzunehmen.<br />Der Lehrer hat die Schüler <b>auffordern</b> zu arbeiten.;Я хочу <b>пригласить</b> тебя активно участвовать в обсуждении.<br />Учитель <b>пригласил</b> учеников работать.;auffordern;;;;
über·nehmen;взять на себя;Ich werde diese Verantwortung <b>übernehmen</b>.<br />Kannst du die Aufgabe <b>übernehmen</b>?;Я возьму на себя эту ответственность.<br />Ты можешь взять на себя эту задачу?;übernehmen;;;;
allgemein;обычный;Das ist ein <b>allgemein</b> bekanntes Problem.<br />Die <b>allgemeine</b> Meinung ist wichtig.;Это обычная проблема, которая известна всем.<br />Общее мнение имеет значение.;;;;;
