#Слова со звездочкой (для экзамена) с занятий с Дашей, которые она будет проверять
#separator:Semicolon
#html:true
#tags:daria даша
#notetype:German
#columns:Front;Back;Example;ExampleTranslation;Notes;Synonym;Context;ContextTranslation
vorbereiten <b>auf</b> + <i>Dat</i>;подготавливаться к чему-то;<i>Sie <b>bereitet</b> sich auf die Prüfung <b>vor</b>.</i>;<i>Она <b>готовится к</b> экзамену.</i></i>;;;
aussagen;высказывать;<i>Ich kann nichts Konkretes darüber <b>aussagen</b>.</i><br /><i>Der Zeuge <b>sagt</b> vor Gericht <b>aus</b>.</i>;<i>Я не могу ничего конкретного об этом <b>высказать</b>.</i><br /><i>Свидетель <b>дает показания</b> в суде.</i>;;;
sich entscheiden;решаться (по отношению к себе);<i>Ich muss <b>mich entscheiden</b>, ob ich nach Berlin fahre oder nicht.</i><br /><i>Er kann <b>sich</b> nicht <b>entscheiden</b>, was er essen soll.</i>;<i>Я должен <b>решиться</b>, поеду я в Берлин или нет.</i><br /><i>Он не может <b>решиться</b>, что ему съесть.</i>;;;
teilen;делить;<i>Wir <b>teilen</b> die Pizza in vier Stücke.</i>;<i>Мы <b>делим</b> пиццу на четыре части.</i>;;;
mitteilen;поделиться (информацией);<i>Er hat mir eine wichtige Information <b>mitgeteilt</b>.</i>;<i>Он <b>сообщил</b> мне важную информацию.</i>;;;
bügeln;гладить;<i>Mein Vater <b>bügelt</b> immer seine Hemden selbst.</i>;<i>Мой отец всегда сам <b>гладит</b> свои рубашки.</i>;;;
gießen;поливать;<i>Vergiss nicht, die Blumen zu <b>gießen</b>.</i>;<i>Не забудь <b>поливать</b> цветы.</i>;;;
aufhellen;осветлять;<i>Die Sonne <b>hellt</b> den Himmel <b>auf</b>.</i>;<i>Солнце <b>осветляет</b> небо.</i>;;;
berufstätig;трудоустроенный;<i>Meine Mutter ist <b>berufstätig</b>.</i>;<i>Моя мама <b>работает</b> (трудоустроенная).</i>;;;
aussehen;выглядеть;<i>Du <b>siehst</b> heute gut <b>aus</b>.</i>;<i>Ты сегодня хорошо <b>выглядишь</b>.</i>;;;
abhängen <b>von</b> + <i>Dat</i>;зависеть от чего-то;<i>Der Erfolg <b>hängt von</b> dir <b>ab</b>.</i>;<i>Успех <b>зависит от</b> тебя.</i>;;;
faul;ленивый;<i>Er ist so <b>faul</b>, dass er heute nicht aufgestanden ist.</i>;<i>Он такой <b>ленивый</b>, что сегодня не встал.</i>;;;
ab und zu;время от времени;<i>Ich treffe <b>ab und zu</b> Freunde.</i>;<i>Я <b>время от времени</b> встречаюсь с друзьями.</i>;;;
sich kümmern <b>um</b> + <i>Akk</i>;заботиться о чем-то (ухаживать);<i>Ich <b>kümmere mich um</b> meine Katze.</i>;<i>Я <b>забочусь о</b> моей кошке.</i>;;;
aufpassen;приглядывать (следить);Kannst du bitte auf meine Kinder <b>aufpassen</b>?;Можешь, пожалуйста, <b>приглядеть</b> за моими детьми?;;;
sorgen <b>für</b> + <i>Akk</i>;заботиться о чем-то (переживать за);Wer <b>sorgt</b> für die Kinder?;Кто <b>заботится</b> о детях?;;;
pflegen;ухаживать;Sie muss ihre kranke Mutter <b>pflegen</b>.;Она должна <b>ухаживать</b> за своей больной матерью.;;;
die Einladung;приглашение;Wir haben eine <b>Einladung</b> zur Hochzeit bekommen.;Мы получили <b>приглашение</b> на свадьбу.;;;
kennenlernen + <i>Akk</i>;знакомиться с кем-то;Ich möchte deine Familie <b>kennenlernen</b>.;Я хочу <b>познакомиться</b> с твоей семьей.;;;
es gibt;есть, имеется;In der Stadt <b>gibt es</b> viele Museen.;В городе <b>имеется</b> много музеев.;;;

der Name;имя;Mein <b>Name</b> ist Pavel.;Моё <b>имя</b> Павел.;;;
das Wetter;погода;Heute ist das <b>Wetter</b> schön.;Сегодня <b>погода</b> хорошая.;;;
die Antwort;ответ;Vielen Dank für deine <b>Antwort</b>.;Большое спасибо за твой <b>ответ</b>.;;;
denken <b>an</b> + <i>Akk</i>;думать о чем-то/ком-то;<i>Ich <b>denke an</b> dich.</i>;;;;
überlassen;передавать;Ich <b>überlasse</b> dir die Entscheidung.;Я <b>передаю</b> тебе это решение.;;;
allzu;слишком, при всем при этом;Das war alles zu schwierig und wie haben beide entschieden, dass es <b>allzu</b> für uns beide;Это все было слишком сложным, и мы оба решили, что это для обоих все <b>перебор/слишком<b/>.

übrigens;кстати;<b>Übrigens</b>, hast du meine E-Mail bekommen?;<b>Кстати</b>, ты получил моё письмо?;;;
die Kindheit;детство;In meiner <b>Kindheit</b> habe ich oft draußen gespielt.;В моём <b>детстве</b> я часто играл на улице.;;;
sich unterhalten;общаться, разговаривать;Wir <b>unterhalten</b> uns über das Wetter.;Мы <b>разговариваем</b> о погоде.;;;
berichten;сообщать;Die Zeitung <b>berichtet</b> über den Unfall.;Газета <b>сообщает</b> об аварии.;;;
die Zeitschrift;журнал;Ich lese gerne diese <b>Zeitschrift</b>.;Мне нравится читать этот <b>журнал</b>.;;;
ausschlafen;выспаться;Am Wochenende möchte ich endlich <b>ausschlafen</b>.;В выходные я хочу наконец-то <b>выспаться</b>.;;;
besichtigen;осматривать (как турист);Wir <b>besichtigen</b> heute das Museum.;Сегодня мы <b>посетим</b> музей.;;;;рассматриваешь место как турист или посетитель, чтобы получить о нем представление;
der Abschied;прощание;Der <b>Abschied</b> von der Familie war sehr schwer.;<b>Прощание</b> с семьей было очень тяжелым.;;;
einerseits, andererseits;с одной стороны, с другой стороны;<b>Einerseits</b> ist es schwer, aber <b>andererseits</b> macht es Spaß.;<b>С одной стороны</b> это трудно, но <b>с другой стороны</b> это приносит удовольствие.;;;
bevorzugen;предпочитать (prefer);Ich <b>bevorzuge</b> Tee statt Kaffee.;Я <b>предпочитаю</b> чай вместо кофе.;;;
zusammenfassend;подытоживая, в целом;<b>Zusammenfassend</b> lässt sich sagen, dass das Projekt erfolgreich war.;<b>Подытоживая</b>, можно сказать, что проект был успешным.;;;
zufrieden sein;быть довольным;<i>Ich bin mit meiner Arbeit <b>zufrieden</b>.</i>;<i>Я <b>доволен</b></i> своей работой.</i>;;;
die Möglichkeit (70%);возможность (70%);Es gibt eine gute <b>Möglichkeit</b>, Deutsch zu üben.;Есть хорошая <b>возможность</b> практиковать немецкий.;<b>потенциальная</b> способность что-то сделать;;;;
die Gelegenheit (bis 50%);возможность (до 50%);Ich hatte die <b>Gelegenheit</b>, viele neue Leute kennenzulernen.;У меня была <b>возможность</b> познакомиться со многими новыми людьми.;<b>конкретный момент</b> или обстоятельство, которое позволяет что-то сделать;;;;
möglich;возможный;Ist es <b>möglich</b>, das heute noch zu schaffen?.<br />Er kommt so schnell wie <b>möglich</b>.;Это <b>возможно</b> сделать сегодня?<br />Он придет так быстро, как это <b>возможно</b>.;;;;;
gelegentlich;изредка, иногда;Ich treffe ihn nur <b>gelegentlich</b>.;Я встречаю его только <b>изредка</b>.;;;;;
die Empfehlung;рекомендация;Haben Sie eine <b>Empfehlung</b> für ein gutes Restaurant?;У вас есть <b>рекомендация</b> хорошего ресторана?;официальное слово, в разговоре лучше использовать синоним;der Tipp;;;
der Tipp;совет;Danke für den guten <b>Tipp</b>!<br />Kannst du mir einen <b>Tipp</b> geben?<br />Dieser <b>Tipp</b> hat mir sehr geholfen.;Спасибо за хороший <b>совет</b>!<br />Можешь дать мне <b>совет</b>?<br />Этот <b>совет</b> мне очень помог.;;;;
